participant,I,i,I7,i7,viio,viiø7,viio7,iii,III,iii7,III7,vi,VI,vi7,VI7,ii,iio,ii7,iiø7,IV,iv,IV7,iv7,N6,It6,Fr6,Ger6,V/V,V7/V,viio/V,viio7/V,How attracted,block,group
48,4.549,3.983,2.952,3.983,4.22,4.575,3.476,4,5.023,2.961,4.49,4.414,5.031,3.299,5.775,4.008,4.499,3.983,4.532,3.975,5.47,3.983,3.146,4.515,4.558,3.493,5.031,4,4.845,4.135,4.532,na,2,freshman
49,6.028,5.006,4.017,5.132,4.946,5.048,4.473,4.059,6.096,4.059,5.048,5.834,4.955,5.048,6.104,6.096,4.989,5.014,5.031,5.994,4.963,4.997,2.961,6.062,5.023,4.059,4.896,5.014,5.031,4.549,2.994,na,2,freshman
50,4.997,4.938,2.724,2.935,5.217,1.946,2.031,1.203,4.997,3.848,5.259,4.22,4.211,4.473,5.056,4.592,4.27,4.397,5.023,5.665,5.639,5.8,1.946,3.865,1.423,4.845,3.442,6.07,4.659,3.552,2.977,na,2,freshman
51,3.577,5.208,3.485,5.251,2.242,3.569,5.301,2.834,3.569,3.941,3.349,3.349,4.473,2.986,5.707,2.952,5.403,3.417,5.496,5.377,5.124,3.045,5.276,3.248,3.324,5.352,4.228,4,3.375,5.656,3.594,na,2,freshman
52,6.485,5.31,5.132,6.062,5.969,6.645,5.589,6.679,6.273,5.285,5.268,6.637,5.149,6.054,4.777,5.792,5.724,6.366,6.028,6.417,6.611,6.239,5.428,6.256,6.797,5.42,5.952,6.13,5.817,6.248,5.8,na,2,freshman
53,7,7,7,7,6.037,4.541,3.983,7,7,3.459,1,6.054,6.02,4.507,5.014,6.468,7,7,5.53,7,7,5.53,6.062,4.465,5.023,4.473,4.507,6.577,3.992,7,4.473,na,2,freshman
54,5.124,4.676,5.132,3.037,4.076,3.054,4.059,5.724,2.318,3.113,2.572,7,3.037,7,4.059,7,4.473,7,6.13,7,6.121,5.766,6.163,1.008,5.673,5.124,5.09,4.6,6.992,5.783,6.138,na,2,freshman
55,2.035,3.995,4.769,5.734,4.457,4.548,5.643,3.101,3.281,4.075,5.452,3.844,5.131,5.181,5.633,4.709,5.955,4.819,5.884,4.417,3.261,4.869,6.095,4.075,7,6.035,6.075,3.211,5.945,6.095,6.387,na,2,freshman
56,6.104,4.575,2.994,5.099,5.039,3.51,5.048,6.113,3.028,1.972,2.977,6.113,6.163,6.679,5.039,6.07,3.518,6.113,5.09,6.104,5.09,4.499,4.059,4.532,1.989,3.045,4.059,6.104,5.107,2.977,6.121,na,2,freshman
57,1,1.582,1.005,1,1.005,1.005,1.577,1,2.401,1,1.005,1.393,1.131,1.334,1.286,3.38,3.564,3.709,3.695,5.73,2.425,1.397,3.491,1,1.354,1.567,2.241,1.354,6.826,6.859,1.596,na,2,freshman
58,6.273,5.099,4.059,5.014,1.008,4.059,4.456,5.775,4.828,4.059,1,5.623,7,2.961,4.059,7,5.454,7,6.51,6.054,2.927,3.569,6.806,3.442,6.087,5.656,6.882,1.955,6.079,6.687,6.983,na,2,freshman
59,5.496,6.239,3.13,3.299,4.482,5.546,5.589,6.51,4.862,4.98,3.248,7,6.307,6.223,4.794,6.417,6.637,5.808,7,7,5.741,4.059,5.428,5.792,6.603,4.118,6.755,7,6.07,5.428,4.059,na,2,freshman
60,1.845,3.696,2.961,3.189,2.589,5.69,3.569,2.132,2.715,3.501,2.31,3.569,5.259,2.699,5.665,3.932,4.524,4.693,4.744,5.073,4.989,3.738,4.752,5.217,5.234,4.904,3.873,4.152,5.42,5.014,4.651,na,2,freshman
61,5.245,4.956,2.084,4.306,2.262,4.923,6.441,3.57,5.442,3.478,2.82,3.51,6.054,3.037,4.082,5.469,6.1,4.43,6.842,6.665,6.56,3.767,6.205,4.608,6.284,5.462,6.757,6.593,6.671,4.529,6.165,na,2,freshman
21,4.989,5.124,2.082,2.149,5.606,3.67,5.09,1.879,3.028,1.963,3.561,1.955,4.532,1.808,6.087,5.234,7,5.183,7,4.194,6.561,6.113,6.037,6.146,5.082,6.645,7,4.287,6.654,5.065,5.344,"They had certain dissonances that needed to be resolved into the next chord, resulting in the ""attractiveness""",1,upperclass
22,4.025,4.507,2.944,4.059,2.952,3.983,6.561,1.955,3.476,1.938,4.515,3.442,1.938,0.855,1.414,4.059,5.023,4.051,4.482,1.93,5.504,3.552,3.451,4.177,6.037,6.07,5.048,1.98,4.744,5.538,6.569,The chords with the most tendency notes and dissonances had the most attraction to the following chord,1,upperclass
23,3.586,3.662,3.89,4.059,3.518,5.056,5.589,4.761,3.51,4.558,3.468,6.079,4.22,0.955,5.648,4.904,5.056,4.71,5.817,5.048,3.054,4.431,3.223,3.738,4.93,5.758,5.952,4.913,5.107,5.665,5.411,they had notes above or below the root note of the chord they were going to that made them sound like that's where they wanted to go,1,upperclass
24,6.811,5.551,2.968,5.294,7,6.525,6.065,3.53,4.567,2.27,4.126,5.284,4.882,0.739,3.695,5.997,5.565,6.273,6.598,6.753,5.784,3.215,6.011,3.758,5.018,4.402,6.457,4.145,5.638,5.997,5.376,"They usually had some common tones or leading tones from the second to the third sound. I also noticed that I had a tendency to score â€œfullerâ€ sounding sounds higher, even if they didnâ€™t make nearly as much harmonic sense.",1,upperclass
25,6.755,6.89,3.349,4.186,2.09,3.4,6.763,5.208,4.152,2.927,4.186,5.437,7,1.096,6.096,6.975,2.192,6.29,6.907,5.251,7,3.51,6.645,5.124,4.642,5.859,6.992,5.031,5.885,4.406,4.127,The chords are commonly used in that order and the resolution is familiar.,1,upperclass
26,4.338,5.006,4.499,6.654,2.952,6.755,6.062,5.631,5.293,6.89,6.527,4.11,6.51,2.972,6.856,5.555,6.121,5.732,5.825,5.014,6.561,6.873,4.575,4.955,5.149,4.482,6.239,5.048,5.166,5.259,3.366,"often diminished sevenths of the following chord, or secondary functions, or had closely placed leading tones",1,upperclass
27,5.206,5.147,6.103,6.272,5.062,6.526,5.925,5.011,6.162,4.698,4.461,4.402,5.951,2.228,7,5.502,6.094,6.272,6.992,6.738,6.882,6.645,5.968,5.147,6.805,6.661,6.619,4.554,6.094,6.932,6.814,"The most attracted sounds had tones that wanted to resolve, like chordal sevenths, to something, especially since we were conditioned to a tonic.",1,upperclass
28,5.056,7,1.296,3.966,1.228,3.603,5.876,4.482,3.586,1.989,2.724,2.741,6.332,1.019,5.048,4.761,5.91,5.58,6.037,5.056,6.468,2.893,5.065,6.468,6.045,7,6.637,2.673,4.828,4.676,5.673,"More dissonant; also, often had a flat 6 scale degree that led to the V.",1,upperclass
29,4.558,2.606,2.994,4.338,1,3.29,4.592,1.752,2.318,3.577,1.963,3.755,7,5.891,5.031,7,7,7,6.594,7,7,4.575,4.448,6.239,4.372,5.606,6.561,6.442,3.29,3.18,7,The most attracted sounds were when the whole chord resolved down. They felt complete. ,1,upperclass
30,6.172,5.893,3.831,4.025,4.659,3.89,6.231,6.231,5.961,3.51,3.882,4.575,5.555,1.62,5.69,5.732,5.58,4.237,4.777,6.07,6.07,3.873,4.541,4.245,5.107,6.062,6.07,5.141,6.104,5.251,6.138,"I noticed that I found diminished chords to be very attracted to their resolution. I also thought sound were more attracted if they had good voice leading, especially in the top voice. fa-sol-do, and mi-re-do I found especially attractive ",1,upperclass
31,5.166,2.276,3.561,1.524,1.008,4.803,4.059,3.839,3.552,1.169,1.642,3.366,5.656,0.4,1.651,5.268,5.538,2.158,6.501,6.037,5.893,4.389,6.062,3.062,2.715,5.065,6.654,3.299,6.434,5.614,6.755,le to sol had the most attracted sounds,1,upperclass
